"","vector_filenames","vector_output_text"
"1","doc 1.docx","PREVENTIVE MAINTENANCE"
"2","doc 1.docx","Equipment: Buffer TableMfg: CLI"
"3","doc 1.docx","Asset #: P215Location: Room 80"
"4","doc 1.docx","QUARTERLY"
"5","doc 1.docx","MECHANICAL"
"6","doc 1.docx","   Inspect motor/s and coupling/sfor looseness or damage. Tighten, repair or replace as needed."
"7","doc 1.docx","   Inspect transmissions or gearboxes for signs of damage or leaks, Repair or replace as needed. "
"8","doc 1.docx","   Inspect the entire unit for loose or missing hardware. Tighten/repair or replace as needed."
"9","doc 1.docx","   Inspect frame, rails, leveling pads for signs of significant damage or damage. Repair or replace as needed."
"10","doc 1.docx","ELECTRICAL"
"11","doc 1.docx","Inspect power cord/s and plug/s for signs of damage or wear. Repair or replace as needed."
"12","doc 1.docx","Inspect main disconnect for proper operation and/or damage.  Repair/replace as needed."
"13","doc 1.docx"," Inspect speed control unit for proper operation or damage. Repair or replace as needed."
"14","doc 1.docx","Inspect any indicators, switches, buttons, knobs and emergency stop switches, as equipped, for proper operation and/or damage. Repair or replace as needed."
"15","doc 1.docx","Inspect all electrical connections and wiring for looseness, damage or sign of burning. Tighten/repair/replace as needed.  "
"16","doc 1.docx","OPERATIONAL"
"17","doc 1.docx","Inspect for the proper operation of the speed controllers for both the infeed and outfeed conveyors by varying the dial setting/s and ensuring the motor/s respond accordingly. If not, repair or replace as needed."
"18","doc 1.docx","Inspect for the proper operation of the forward/reverse switch on the orienter by changing switch positions and rotation should change accordingly. If not, repair or replace as needed."
"19","doc 1.docx","Inspect for missing or damaged asset tag.  Replace as needed."
"20","doc 1.docx","Replace PM Due Date sticker."
"21","doc 1.docx","Make appropriate PM log book entry."
"22","doc 2.docx","PREVENTIVE MAINTENANCE"
"23","doc 2.docx","Equipment: Buffer TableMfg: CLI"
"24","doc 2.docx","Asset #: P215Location: Room 80"
"25","doc 2.docx","QUARTERLY"
"26","doc 2.docx","MECHANICAL"
"27","doc 2.docx","doc 2 - 1"
"28","doc 2.docx","doc 2 - 2"
"29","doc 2.docx","ELECTRICAL"
"30","doc 2.docx","doc 2 - 3"
"31","doc 2.docx","OPERATIONAL"
"32","doc 2.docx","doc 2 - 4"
"33","doc 2.docx","doc 2 - 5"
"34","doc 2.docx","doc 2 end line"
"35","doc 3.docx","PREVENTIVE MAINTENANCE"
"36","doc 3.docx","Equipment: Buffer TableMfg: CLI"
"37","doc 3.docx","Asset #: P215Location: Room 80"
"38","doc 3.docx","QUARTERLY"
"39","doc 3.docx","MECHANICAL"
"40","doc 3.docx","   Inspect motor/s and coupling/sfor looseness or damage. Tighten, repair or replace as needed."
"41","doc 3.docx","   Inspect transmissions or gearboxes for signs of damage or leaks, Repair or replace as needed. "
"42","doc 3.docx","   Inspect the entire unit for loose or missing hardware. Tighten/repair or replace as needed."
"43","doc 3.docx","   Inspect frame, rails, leveling pads for signs of significant damage or damage. Repair or replace as needed."
"44","doc 3.docx","ELECTRICAL"
"45","doc 3.docx","Inspect power cord/s and plug/s for signs of damage or wear. Repair or replace as needed."
"46","doc 3.docx","Inspect main disconnect for proper operation and/or damage.  Repair/replace as needed."
"47","doc 3.docx"," Inspect speed control unit for proper operation or damage. Repair or replace as needed."
"48","doc 3.docx","Inspect any indicators, switches, buttons, knobs and emergency stop switches, as equipped, for proper operation and/or damage. Repair or replace as needed."
"49","doc 3.docx","Inspect all electrical connections and wiring for looseness, damage or sign of burning. Tighten/repair/replace as needed.  "
"50","doc 3.docx","OPERATIONAL"
"51","doc 3.docx","Inspect for the proper operation of the speed controllers for both the infeed and outfeed conveyors by varying the dial setting/s and ensuring the motor/s respond accordingly. If not, repair or replace as needed."
"52","doc 3.docx","Inspect for the proper operation of the forward/reverse switch on the orienter by changing switch positions and rotation should change accordingly. If not, repair or replace as needed."
"53","doc 3.docx","Inspect for missing or damaged asset tag.  Replace as needed."
"54","doc 3.docx","Replace PM Due Date sticker."
"55","doc 3.docx","Make appropriate PM log book entry."
"56","doc 3.docx","DOC3 JUNK"
"57","doc 3.docx","DOC3 JUNK "
"58","doc 3.docx","DOC3 JUNK"
"59","doc 3.docx","DOC3 JUNK END LINE"
"60","doc 4.docx","TITLE"
"61","doc 4.docx","SUBTITLES"
"62","doc 4.docx","HEADER 1"
"63","doc 4.docx","doc 4 text line one"
"64","doc 4.docx","doc 4 text line one"
"65","doc 4.docx","doc 4 text line one"
"66","doc 4.docx","doc 4 text line one"
"67","doc 4.docx","doc 4 text line one"
"68","doc 4.docx","doc 4 text line one"
"69","doc 4.docx","doc 4 text line one"
"70","doc 4.docx","doc 4 text line one"
"71","doc 4.docx","doc 4 text line one"
"72","doc 4.docx","doc 4 text line one"
"73","doc 4.docx","HEADER 2"
"74","doc 4.docx","doc 4 text line one"
"75","doc 4.docx","doc 4 text line one"
"76","doc 4.docx","doc 4 text line one"
"77","doc 4.docx","doc 4 text line one"
"78","doc 4.docx","doc 4 text line one"
"79","doc 4.docx","doc 4 text line one"
"80","doc 4.docx","doc 4 text line one"
"81","doc 4.docx","HEADER 3"
"82","doc 4.docx","doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph doc 4 paragraph "
"83","doc 4.docx","HEADER 4"
"84","doc 4.docx","doc 4 text line end"
